SourceID,TargetID,Relationship Strenght
12091,16968,30%
12091,16968,30%
12091,21654,30%
12091,21628,30%
12091,9012,30%
12091,11786,30%
12091,12088,30%
5234,1523,30%
5234,1641,30%
5234,3791,30%
5234,17370,30%
5234,16968,30%
5234,17287,30%
5234,9637,30%
5234,12088,30%
5192,1523,30%
5192,3640,30%
5192,16792,30%
1526,1528,30%
1551,1560,30%
10724,1561,30%
10724,10731,30%
10724,11602,30%
10724,11602,30%
3585,1573,30%
3585,13962,30%
3585,20730,30%
3585,20729,30%
5461,1583,30%
5461,5010,30%
5461,5214,30%
5461,7111,30%
5461,7313,30%
5461,7570,30%
5461,8237,30%
5461,9730,30%
5461,10778,30%
11341,1585,30%
11341,3572,30%
11341,6770,30%
11341,6776,30%
11341,6872,30%
11341,6950,30%
11341,7683,30%
11341,7683,30%
11341,8269,30%
11341,8331,30%
11341,11399,30%
11341,11400,30%
11341,11401,30%
11341,11403,30%
11341,11430,30%
11341,11432,30%
11341,11433,30%
11341,13059,30%
1683,1585,30%
1683,2153,30%
1683,5734,30%
1683,6770,30%
1683,6776,30%
1683,6872,30%
1683,8268,30%
1683,8269,30%
1683,13008,30%
7697,1585,30%
7697,6770,30%
7697,6776,30%
7697,6950,30%
7697,7683,30%
7697,8268,30%
7697,16824,30%
7697,8941,30%
7697,11399,30%
7697,13008,30%
11428,1585,30%
11428,6872,30%
11428,6950,30%
11428,7683,30%
11428,8269,30%
11428,8331,30%
11428,11399,30%
11428,11400,30%
11428,11403,30%
11428,11432,30%
11428,13059,30%
885,1585,30%
885,2153,30%
885,6770,30%
885,6872,30%
885,7683,30%
885,8268,30%
885,13008,30%
6231,1585,30%
6231,6770,30%
6231,6776,30%
6231,6872,30%
6231,6950,30%
6231,7683,30%
6231,8268,30%
6231,8269,30%
6231,11399,30%
6231,13008,30%
1737,1585,30%
1737,2153,30%
1737,6770,30%
1737,6776,30%
1737,6872,30%
1737,8268,30%
1737,8269,30%
1737,13008,30%
2027,1585,30%
2027,2153,30%
2027,3572,30%
2027,6541,30%
2027,6770,30%
2027,6776,30%
2027,6872,30%
2027,8268,30%
2027,9939,30%
2027,13008,30%
8882,1585,30%
8882,21756,30%
8882,9487,30%
1994,1585,30%
1994,2153,30%
1994,6872,30%
1994,8268,30%
7096,1585,30%
7096,6770,30%
7096,6872,30%
7174,1585,30%
7174,6770,30%
7174,6776,30%
7174,6872,30%
7174,8268,30%
7174,13008,30%
6915,1585,30%
6915,6776,30%
6915,7683,30%
6915,8268,30%
7149,1585,30%
7149,3572,30%
7149,6872,30%
7149,6950,30%
7149,11399,30%
11551,1585,30%
12654,1585,30%
12654,2027,30%
12654,6776,30%
11100,1585,30%
11100,6776,30%
11100,6872,30%
11100,7683,30%
11100,7683,30%
11100,13008,30%
11100,13059,30%
7194,1585,30%
7194,6469,30%
7194,6638,30%
7194,6770,30%
7194,6776,30%
7194,7243,30%
7194,8268,30%
7194,8269,30%
7194,11341,30%
7194,13008,30%
15437,1596,30%
15437,3160,30%
15437,21245,30%
15437,21057,30%
15437,21466,30%
15437,21107,30%
15437,21489,30%
1987,1596,30%
1987,6449,30%
1987,17332,30%
7021,1596,30%
7021,17332,30%
13085,1607,30%
3581,1607,30%
3581,16053,30%
3581,14218,30%
3581,2930,30%
3581,3593,30%
3581,3688,30%
3581,3713,30%
3581,3714,30%
3581,15399,30%
3581,4947,30%
3581,6379,30%
3581,7002,30%
3581,7519,30%
3581,7634,30%
3581,7810,30%
3581,9633,30%
3581,10473,30%
3581,11486,30%
3581,11920,30%
3581,12062,30%
3581,12168,30%
3581,12217,30%
4976,1607,30%
4976,6594,30%
7695,1614,30%
7695,4099,30%
7695,7374,30%
7695,7462,30%
7695,7607,30%
7695,8259,30%
15370,1617,30%
15370,15661,30%
15370,15156,30%
15370,15723,30%
15370,15528,30%
15370,15165,30%
15370,3491,30%
15370,3513,30%
